app,category,sentiment,summary,aspects,opinions
Al Habib,UI_UX#DESIGN,negative,"BAHL mobile app fullfil the needs of everyone but its front surface looks old. Not enough space for app update, I do earliest Pl. It cannot be installed on vivo y33s, dont know","vivo y33s, space, front surface","Not enough, old"
Al Habib,UI_UX#DESIGN,positive,Mostly features are dummy,dummy,
Al Habib,UNCLASSIFIED_ISSUES,,"    ‘’’   ‘”’ ’ ’ ’,  “”, ””. “,”  ”,““, ” and ”""’.”",,
HBL,APP#COST_FEEDBACK,negative,Paid 2600 for my package. Money has been deducted but package isn't activated.,package,Paid 2600
HBL,APP#DESIGN_FEEDBACK,negative,"When tap Transaction Notification, then tap Save Button, there is BLANK (white) image saved in Gallery. Add a refresh button for Bill Payments, because there has been showed previous bill. Frustrating Experience and Poor Support - I needed to download an e-statement that required ID verification. Despite multiple follow-ups and even visiting the branch, the issue still isn’t resolved. I’m closing my account and moving to a more reliable bank.","e-statement, Transaction Notification, BLANK (white) image","required ID verification, Save Button"
HBL,APP#DESIGN_FEEDBACK,neutral,There is ready cash option in the HBL mobile,HBL mobile account,
HBL,APP#DESIGN_FEEDBACK,positive,very secure app,app,secure
HBL,APP#FEATURES,neutral,Fazol app download ni hoti Good future but I suggest to add raast id delet options in hbl app. Is it necessary to visit the concerned branch for biometric verification or we can do this through HBL Mobile app?,"fazol app download, hbl app, HBL Mobile app, bakwas app verification","okay, Good"
HBL,APP#GENERAL_EXPERIENCE,positive,Loan ka option log in k foran Baad e AA jata h or yes k ilawa proceed krta he nhe hai loan k Liye calls b boht aayi Hain Best experience so far. Everything's perfect just sometimes it's lacking and not opened. Very nice.,"experience, reacct HBL, HBL, Working, budget, ap, One Window Solution","love, perfect, amazing, nicely, best, divide, nice, Excellent, helpful, good, excellent, Great, Good, Awesome, Best, great, Nice"
HBL,APP#PERFORMANCE,neutral,How to Biometric activation at home..?? Please update my hbl app notification of app should be optional and not,"Biometric activation, hbl app, notification of app","How, optional, please update"
HBL,APP#QUALITY_FEEDBACK,negative,Very bad experience,quality,poor
HBL,APP#USABILITY,positive,The process of transection is realy good Good experience to use. Beneficial for online purchasers good and easy to use good for online buyers.,"experience, process of transection","good, easy, Good"
HBL,APP#USABILITY_FEATURES,negative,"Your Transaction Limit feature is very frustrating. It's hard to set the exact amount just give a simple option to type the amount. After changing one limit (like QR transfer), the app locks for 2 hours. Let us change all limits at once before locking the app. AOA....HBL app is not suitable for RAAST fund transfer.... payment HBL account se cut jaati Hai laiken beneficiary' account mein nai jaati.","view statement add on, App, Transaction Limit feature, mark-up/interest charges, credit cards, HBL app, app","allow to add a benificiary account or utility bills, forcibly offering, frustrating, convenient, not suitable, friendly, wasting users time"
HBL,APP#USABILITY_FEATURES,neutral,How to registere Email in,HBL app,registere Email
HBL,APP#USABILITY_FEATURES,positive,"This app is very helpful and secure to use . add kuickpay feature for credit card customers. This app use is very easy & helpful. I am using this app and satisfied with this. Initially, I found this application very easy and suitable to use, but over time, I realized that it is extremely useless and has features.","app use, application, HBL Mobile App, asslam.o.alaikum, aap, App, Hbl application, reminders, days before the due date, M- Tag recharge option, options, app, features, app notifications, kuickpay feature","loved, satisfied, user-friendly, best, add, helpful, useful, Excellent, comfortable, good, user friendly, great, friendly, easy and suitable to use, easy"
HBL,ATM_SERVICE,negative,I'm facing issue that my transactions are shown in transaction activity after few days. transferred amount is deducted instantly and do not receive by beneficiary on the spot. what is the issue. I'd like to know.,"transaction activity, transactions",
HBL,BANK_REPUTATION,neutral," sb se bekkaar ap ,otp type",sb,
HBL,BANK_REPUTATION,positive,Good attempt by the HBL but it's UI is not good like Jazz Cash. please work on your UI. MAA Sha Allah very good working Easy & Interactive v alwayz have money hbl good bank my favourite Bank hbl Good luck HBL HBL is very best and Easy Application Love you HBL.,"v alwayz, Easy & Interactive, Bank of Pakistan, MAA Sha Allah, HBL, Bank hbl, hbl, Hbl","favorite, best, nice, good, Good attempt, grateful, Thanks, Thankful, Good luck, Best, easy"
HBL,BIOMETRIC#GENERAL,negative,"Finger prints k Verification krta howa ""uncertain results """,Finger prints,uncertain results
HBL,BIOMETRIC#GENERAL,positive,"The most good looking interface & exquisite features, an brilliant debit card, and the swiftest internet banking",debit card,brilliant
HBL,BIOMETRIC#LOGIN_ISSUES,negative,"The app sends me a otp code containing alpha numeric characters. When i try to enter otp, the keyboard does not open. After several attempts when it opens, only number input is available, not alphabets, so uli cannot register my device. I bought new cell when i tried to log in space button not working in app. while my user ID contain space. now how i log in???","key board input panel, keyboard, password, space button",forgot
HBL,BIOMETRIC#PERFORMANCE,negative,"Fingerprint issues cannot be resolved. Unable to do biometric verification, camera doesn't open.","fingerprint issues, camera",
HBL,BIOMETRIC#PERFORMANCE,positive,Bio Metric verification should also be made available on digital channels like HBL Mobile. Good tool of ease,tool,Good
HBL,BRANCH_SERVICE,positive,"This app is very helpful very Good service and had privacy To be frank Hbl services and staff are pathatic, they are the laziest staff I found around, they kept waiting customers for hours and even their is no solution for copy, they asked often customer to bring paper with them to make a copy of their document...very rude staff all the time just talking around.","developer work, Services, HBL APPLICATION, service, staff, luck, meezan bank, HBL Team, HBL Pakistan","well done, nice, Outstanding, Excellent, good, Safe and Secure, excellent, Blessed, Good, Appreciated, laziest"
HBL,CARD_SETTINGS_SUPPORT,positive,Good and easy to use avalibale all kind of mobile,mobile banking facilities,Good
HBL,CUSTOMER_SUPPORT,neutral,Is it necessary to visit the concerned branch for biometric verification or we can do this through HBL Mobile app?,biometric verification,needs to visit
HBL,CUSTOMER_SUPPORT,positive,"HBL Bank is great, but I don't like that I don’t receive SMS alerts for debit transactions—only push notifications. If you add Payoneer withdrawal options like Faysal Bank that would be a plus point. HBL application is too slow to function smoothly for last 4 days. please fix it.","bakwas bank, credit card processing option, response, Digital Banking, MASHA ALLAH HBL BANK, customer support, credit card, helpline, Pakistan Bank, bed response helpline, customer service, Faysal bank, Payoneer withdrawal options, banking system, HBL Bank, bank, support team, banking, ghatya service, mobail banking, Allied Bank, e banking, Support, HBL BANK FAVOURITE FAVOURITE BANK","love, FAVOURITE, plus point, best, nice, Excellent, Good working, excellent, good, 3rd class, prompt response, Thanks, great, Best"
HBL,DELIVERY_RELATED_FEEDBACK,negative,Good but there is always room for improvement. if we go in the past transaction we cannot take receipt but now it has been updated Unable to find/filter old Bill payments receipt of 1Bill-Invoice paid in June 2024 in transaction activity after latest update.,Bill payments receipt,"Unable to find, Good"
HBL,DELIVERY_RELATED_FEEDBACK,neutral,Please add the amount in Words and commas in figure in payment slip. developer bro please consider,payment slip,
HBL,DEVICE#PERFORMANCE,negative,"I'm unable to register my mobile phone while travelling abroad since I no longer have my sim. When logging in with a different mobile number, the app tries to verify through biometric fingerprint scan through camera, which never works. It is saying that my device is rooted or jail breaked, and the app is not working at all. Please fix this issue as soon as possible.","loan, mobile phone, pta phone, device","unable to register, not working well, distracting, rooted or jail breaked, fine, error"
HBL,DEVICE#PERFORMANCE,positive,Good and easy very good performance easy and good. good working,appas,"good, easy, Good"
HBL,ENVIRONMENT_FEEDBACK,negative,Very bad band I nor satisfied it,band,bad
HBL,ENVIRONMENT_FEEDBACK,positive,V nice all facility good hello hello hello y credit card records not showing my ap.,facility,nice
HBL,LIGHTING_OR_LOCATION_ISSUE,positive,Very good app Pakistan and good,Pakistan,good
HBL,LOCATION_FEEDBACK_MISC,negative,I'll not recommend HBL to anyone! I can't take photos of cnic plus slow to submit the application of acount oppening biometric. Aik to Quetta men net nahin he oper se in k nakhry. HBL se guzarish hai k is masla ko thik kare plzzzzzzz ma Saudi Arabia.,"HBL, cnic","slow, not recommend"
HBL,LOCATION_FEEDBACK_MISC,neutral, transection show nahi horahi Kal rat se,nahi horahi Kal rat se,
HBL,LOCATION_FEEDBACK_MISC,positive,Pakistan is very best banking very nice mobail banking so nice im very happy to all stafs for banks attack city. boht zalil krti hai,"nhi hoti, Pakistan",best
HBL,LOGIN_SECURITY_ISSUES,negative,Maine 3 devices par login Karne ki try ki hai par same issue araha hai. sign-in par OTP enter karte time Keyboard open,keyboard,
HBL,MISC#APP_FEEDBACK,negative,"We're frustrated with the complaint submission process. Every issue is met with generic responses that don't address our concerns. We need meaningful support, not repetitive automated replies. Salary credits delayed till the 8th are unacceptable. We have urgent expenses like fees, rent, and medical bills. If timely credits aren't possible, perhaps it's best to reconsider your banking services.","fees, HBL digest ur money, rent, and medical bills, Raha hay kia masla hay, expensive expenses","failed, urgent, frustrating"
HBL,MISC#APP_FEEDBACK,positive,mashallah to good,mashallah,good
HBL,Miscellaneous,positive,"everything is just on front Page rate it five star but one thing must be addes is the changing and and updating of mobile number and g mail address for those who have not registered their Gmail. I tried 3 times in last seven days to get NPC (PKR) , took more than a week. HBL App doesn't show total investment in NPC incl Amount / tenure / / maturity dates etc etc.","other Banking apps, app quality, g mail address, transfer, HBL Change OTP To T Pin, 4G data rat 8, mobile number","Appreciate, improve, Super Fast, improving"
HBL,PAYMENT#STUCK,negative,Low speed of transaction and low speed of,,low
HBL,SCREEN#GENERAL_FEEDBACK,positive,"Overall, this app provides a positive user experience with a robust set of features and excellent stability. The interface is clean and minimalistic, though there is room for enhancement—particularly in optimizing the home screen layout to better utilize space for additional functionality. The app is free and available for iOS and Android devices.","home screen layout, interface","optimizing, clean and minimalistic"
HBL,SCREEN#ISSUES,negative,"After signing in, Loan Offering dialogue display is not removing from the main interface while clicking Yes Or No whatever. Lowering my rating now. There is a serious glitch in the app. It keeps on pooping up on my screen and opens up without any reason. When i open the app i cant see my balance. the screen just loads and nothing appears. you guys need to fix this.","dashboard, dialogue display, screen",
HBL,SUPPORT#PERFORMANCE,negative,"Good app, but sometimes sms service takes too long!!! Showing very poor response. Transaction is giving error again and again. Very bad update after introducing T PIN option.","sms service, Transaction, informing messaging","not satisfied, giving error, takes too long"
HBL,SUPPORT#PERFORMANCE,positive, easy to use smooth functioning as compared to other banks of Pakistan,,easy
HBL,SYSTEM#PERFORMANCE,negative,"This app used to be excellent, but recent changes have completely ruined the user experience. Forcing users to enable notifications just to open the app is manipulative and unacceptable. It’s clear the developers care more about pushing ads and engagement metrics than respecting their users.",user experience,user-unfriendly
HBL,SYSTEM_UI,negative,Good attempt by the HBL but it's UI is not good like Jazz Cash. please work on your,UI,not good
HBL,UI_UX#DESIGN,negative,"There is only one problem that the balance is not being hidden. Poor configuration, can't change device if you login using one. Please work on it.","balance cutting, balance, OPT box, device","Poor configuration, Random"
HBL,UI_UX#DESIGN,positive,"The most good looking interface & exquisite features, an brilliant debit card, and the swiftest internet banking application. I am very satisfied.","features, interface","amazing, good looking"
HBL,UNCLASSIFIED_ISSUES,,The worst banking v,banking vvvvvv,
HBL,UTILITIES#PERFORMANCE,positive,good for fast transmission,,good
Meezan Bank,APP#COST_FEEDBACK,positive,So cheap ui even jazzcash and easyp,ui,cheap
Meezan Bank,APP#DESIGN_FEEDBACK,negative,"This app is definitely better than the Classic one in terms of design and features. However, the two apps are not synchronized properly. This app doesn't show all the beneficiaries, and when we try to add them manually, it says ""duplicate entries not allowed"" Because of this, we’re forced to keep both apps, which isn't a great experience.","app, both apps",not synchronized properly
Meezan Bank,APP#DESIGN_FEEDBACK,positive,"This app is definitely better than the Classic one in terms of design and features. However, the two apps are not synchronized properly. This app doesn't show all the beneficiaries, and when we try to add them manually, it says ""duplicate entries not allowed"" Because of this, we’re forced to keep both apps, which isn't a great experience.","OTP, app, Mobile App","well-designed, nice looking, better, Create, interesting"
Meezan Bank,APP#FEATURES,neutral,"What's the difference between the Meezan Bank classic and this meezan banking app? I myself using an old classic app, but why are new users using a new one",meezan banking app,
Meezan Bank,APP#GENERAL_EXPERIENCE,,I like ❤️♥️♥️♥️,,like
Meezan Bank,APP#GENERAL_EXPERIENCE,negative,Most pathetic version ever needs more improvements very bad 2 days go update bad bad. ver bad experience Not good this version it's very banificial. sir ma ghr bethay apni daily limit kasay increase kr Sakta ho sir.,version,"bananaficial, Not good, terrible, pathetic, bad"
Meezan Bank,APP#GENERAL_EXPERIENCE,neutral,CNN.com,,ok
Meezan Bank,APP#GENERAL_EXPERIENCE,positive,"An option for recharge balance for sim card should be available too and also statement of our transactions. Benefeciaries should be saved in ,and all the details of our transaction when and where we have made transaction which charges have been deducting and the most important statement should be showin to us in our mobile app. I am satisfied Much better than previous one nice experience.","experience, check book, AAP, option for recharge balance","best, Great, Nice, satisfied, AVG, available, solved, impressed, great, safe, amazing, improvements, well done, nice, good, Good luck, better, excellent, like, high class, Good"
Meezan Bank,APP#PERFORMANCE,neutral,It is advisable to get final authentication from app user before proceeding to any transactions. Sir when will the transaction PIN option be available in the new Meezan Bank beta app?,"app user, transaction PIN option","advisable, available"
Meezan Bank,APP#PERFORMANCE,positive,"The new Meezan Bank app is a significant improvement—fast, user-friendly, and visually appealing. Transactions process quickly and securely. Live chat not working, otherwise a good app with decent UI. Extremely disappointing application. It rarely opens on the first attempt, and transferring money is nearly impossible without encountering multiple errors at every step.","app off money transfer, application, transfer, easy digital account, App for Banking, meezan app, new version, Application, Meezan Bank app, User Interface & Functionality, credentials, App, star-rating, updating, 5 Star Rating, login, app, Navy, classic app, digital Banking with Meezan",", exclusive, resolved, fast, successfully, Great, Convenient, enough, smooth, fine, Improved, improvement, cool, nice, good, well, prompt, better, significant improvement, Good, Best, working, Easy"
Meezan Bank,APP#USABILITY,positive,"It's very Easy to use easy to use, good ui, safe and protected.. user friendly, swift. Easy to used. very nice and easy use thanks good and esly use quite good.","ui, use","nice, good, friendly, Easy, easy"
Meezan Bank,APP#USABILITY_FEATURES,negative,"Roshan digital account allows users to login via web browser. Mobile app doesn't work for security reasons, you have to use web browser, why not open the apps in mobile? I,m okay with it but there no any option to save contacts or ids .everytime I neend to transfer have to add bank I'd again and again.","Roshan digital account, apps",okay
Meezan Bank,APP#USABILITY_FEATURES,neutral, app should add debit card apply,app,
Meezan Bank,APP#USABILITY_FEATURES,positive,"The app is well-designed and functions smoothly. Kindly enable beneficiary sync from the old app to the new one to avoid the need to re-enter details. Also, please consider adding a dark mode option for better user experience. I just opened my digital asan account it's very easy to use n very good service.","digital asan account, application, interface, beneficiary sync, dark mode option, online biometric option, notification channels, Bank, Meezan banking app, mobile app, app, account, oxm interface","better user experience, easy to use, love, Useful, amazing, nice, simple, good, enable, use different, Great experience, Nice, easy"
Meezan Bank,BANK_REPUTATION,negative,"I'm compelled to express my deep disappointment with the handling of my complaints. Despite multiple submissions, none have been adequately addressed. This lack of resolution raises questions about the bank's commitment to customer satisfaction. I've provided evidence of the issues, including problems with the mobile application. However, your responses have been unhelpful, failing to address the root causes.","bank's commitment to customer satisfaction, Huawei","Not working properly, questioning"
Meezan Bank,BANK_REPUTATION,positive,thank you Meezan 🏦BANK,,thank you
Meezan Bank,BIOMETRIC#LOGIN_ISSUES,negative,"Finger print does not work. cannot login anymore giving error in card option not showing balance section. trying several of times but did not getting register. Documents are verified by NADRA but continue button not working, should have tested the app before going live.","continue button, register, finger print, card option",
Meezan Bank,BIOMETRIC#PERFORMANCE,negative, register for digital binking is,register,
Meezan Bank,BRANCH_SERVICE,neutral, update ho to nh Rahi.. aur na e account,Rahi,
Meezan Bank,BRANCH_SERVICE,positive,"Meezan Bank provides very good service. The staff is helpful, and the bank is also very safe and secure. I highly recommend Meezan bank to all thank you for my best experience thanks for service that's for asking you r service's is so good excellent service after meezan 2.0 launch. Mufti Taqi usmani shab thanks for your Islamic banking research best service.","Meezan Bank, servers, mezan, VIP, management, MashAllah, service of meezan bank, mezan service, Service, work, service provider, staff, Work, service's, service, job, Banking Services, services, Service Provide","best, fast, Great, Nice, easy, quick, Excellent, helpful, Simple, great, thanks, nice, gud, good, Good Working, thank you, better, excellent, Good, Best"
Meezan Bank,CAMERA#PERFORMANCE,negative,Camera does not open for your touch less scan...if in case open it will show you finger print does not match. pathetic... better to close this aap.,camera,pathetic
Meezan Bank,CARD_SETTINGS_SUPPORT,positive,Meezan Bank easy to use,Meezan Bank,easy to use
Meezan Bank,CUSTOMER_SUPPORT,positive,"Meezan Bank is Pakistan’s first and largest Islamic bank, providing financial services in accordance with Shariah principles. Started getting failed login alerts of my Meezan mobile app only with a week of getting my new account and mobile app. The staff is helpful, and the bank is also very safe and secure.","Meezan Bank, Payoneer, Meezan Bank for Riba Free Banking Ameen, Meezan Digital Bank, Transaction Reference, online banking, bank of Pakistan, Meezan bank, hota bank, customer service, mobil banking, meezan bank limited, NICE BANKING NETWORK, Pakistan's Best Bank, meezan bank, customer, best bank of pakistan, Pakistan Slute To Meezan Bank Ceo, bank  account, mashallah, HBL Limited Bank, meezan, agar pension account, other banks, bank, internet banking, tysm meezan bank, banking, mezan bank services, payment, bank meezan, mezaan bank online or offline","safer than these, present, best, good service, convenient, Kindly Add, first and largest Islamic bank, good performance, satisfied, Thank You, helpful, great, safe, liked, secure, amazing, thanks, nice, good, partnered with, love, thank you, excellent, like, Thanks, recommend, Good, Best, well-done"
Meezan Bank,DELIVERY_RELATED_FEEDBACK,negative,"1bill invoice has 14, or 15 digits,,, please resolve this isaue. Branchless banking feeld has show 20 digits, but it has only 9 digits, thees two issues i have face thanks.","payment, 1bill invoice",Raast
Meezan Bank,DELIVERY_RELATED_FEEDBACK,neutral, transaction comments should be shown on the,receipt,Transaction comments
Meezan Bank,DELIVERY_RELATED_FEEDBACK,positive,good transfer meezan,transfer meezan,good
Meezan Bank,DEVICE#PERFORMANCE,negative,"Extremely disappointing experience trying to log in from my new phone. Despite multiple visits to the branch and countless calls to the call center, I’ve had no success. The authentication process is frustrating, and the system consistently fails to verify my CNIC through NADRA. I'm seriously considering closing my account and switching to a bank with a more reliable and user-friendly mobile application.","phone, meezan classic, meezan 2.0, mobile, balance view, new phone","disappointing, headache, bugs, best, long, not working, slow, bad"
Meezan Bank,DEVICE#PERFORMANCE,positive,"The new Meezan Bank app is a significant improvement. Navigation is smooth, and key features are easily accessible. Transactions process quickly and securely. I really love it. it's simple to operate. Realy fast transaction very nice and easy and fast progress Good working love it No Issues Was Found, Everything Works Smoothly.","transaction, key features, Transaction, use","love, nice, fast, easily accessible, Good, Smoothly, Easy, easy, Fast"
Meezan Bank,ENVIRONMENT_FEEDBACK,negative,Night mode hona cahiya.. very bed experience not make a account must add a feature of dark mood.,"night mode, bed",perfect
